Date,Open,High,Low,Close,Volume ,Market Cap
2018-04-15,480700.05,766855.89,430000.26,571995.12,10.37536141,1.42E+11
2018-04-14,560211.54,630000.19,472499.98,539985.96,12.92907484,1.36E+11
2018-04-13,466578.08,1424663.78,426248.37,488000.01,22.76742535,1.34E+11
2018-04-12,433503,645253.95,415001.01,454561.59,17.49704449,1.33E+11
2018-04-11,428608.85,635344.98,349998.52,462662.02,20.90903768,1.18E+11
2018-04-10,425760.88,667690.46,413137.78,429675.24,20.96473936,1.15E+11
2018-04-09,455106.06,623915.24,350000,454037.35,16.90782934,1.14E+11
2018-04-08,477146.81,529999.99,373001.09,449157.6,12.19923996,1.19E+11
2018-04-07,425339.69,627939.54,349999.74,408288.59,21.19175525,1.18E+11
2018-04-06,385000,620963.74,335591.66,377568.47,26.47024403,1.12E+11
2018-04-05,463050,637371.28,300000.08,383596.08,23.33378082,1.16E+11
2018-04-04,513669.08,669463.54,444210,491689.95,30.40243668,1.15E+11
2018-04-03,507800.23,671930.87,449999.83,496525.02,22.13581174,1.26E+11
2018-04-02,504999.96,643731.79,439499.74,458909.37,15.44817477,1.19E+11
2018-04-01,451055.16,710499.77,432577.92,452703.31,10.09152101,1.15E+11
2018-03-31,543999.2,625195.37,440000.11,486916.5,18.86505823,1.18E+11
2018-03-30,460265.87,710499.77,425599.83,518699.91,20.10159515,1.17E+11
2018-03-29,517522.56,679999.84,470189.96,532132.84,15.9945365,1.22E+11
2018-03-28,593999.24,810000.26,501241.17,535599.97,30.38003242,1.35E+11
2018-03-27,677667.82,766518.47,514659.56,571881.17,15.31166049,1.33E+11
2018-03-26,555943.83,810005.18,520500,580180.05,15.89920364,1.39E+11
2018-03-25,650635.69,785237.53,534935.4,542936.9,6.66553158,1.46E+11
2018-03-24,612300.89,808229.24,563008.91,569999.99,14.23883899,1.47E+11
2018-03-23,657008.93,1686192.78,535995.44,560999.75,16.36675337,1.47E+11
2018-03-22,578000.03,786236.4,522862.15,564999.97,9.7172878,1.47E+11
2018-03-21,608696.58,963759.05,571869.26,609400,15.1028605,1.52E+11
2018-03-20,644999,1660302.64,422000.04,669999.69,12.73009651,1.52E+11
2018-03-19,594522.54,758527.49,522152.31,588037.67,22.65865489,1.42E+11
2018-03-18,532000,705410.44,469999.91,634500.05,9.22543525,1.38E+11
2018-03-17,608084.3,760502.54,462000.46,530000,13.44857523,1.35E+11
2018-03-16,618400.89,1605136.44,525072.2,573352.87,14.70808911,1.44E+11
2018-03-15,629128.66,1598772.14,461999.75,554000,10.93228689,1.41E+11
2018-03-14,643165.99,844938.56,520057.76,597201.04,10.7430156,1.38E+11
2018-03-13,607300.23,1005999.78,575392.2,724000.25,22.13870118,1.55E+11
2018-03-12,668000.89,931270.38,589026.07,589026.07,12.62494637,1.55E+11
2018-03-11,670505.53,797149.88,562261.04,757997.65,5.82747833,1.65E+11
2018-03-10,598596.5,879739.6,559998.6,644246.88,7.78862658,1.48E+11
2018-03-09,728000.73,847113.76,547857.73,674372.5,14.10449289,1.54E+11
2018-03-08,707000.01,1912646.42,584973.21,636340.18,16.10468619,1.59E+11
2018-03-07,652685.74,1185266.66,619999.66,741986.55,9.8917028,1.71E+11
2018-03-06,729639.41,959540.03,619999.7,734899.92,13.32742725,1.82E+11
2018-03-05,681096.65,1029134.81,619999.96,755084.55,16.89479572,1.96E+11
2018-03-04,710031.27,2171052.92,622490.58,736632.51,6.41701552,1.93E+11
2018-03-03,730253.76,2218022.77,559999.37,725123.01,14.78883168,1.91E+11
2018-03-02,684499.99,988616.78,622499.63,733889.3,9.04953976,1.87E+11
2018-03-01,705649.07,2.00E+06,300003,784559.86,10.8223997,1.86E+11
2018-02-28,680106.01,974279.03,614002.25,614002.25,14.17062925,1.75E+11
2018-02-27,697729.88,1041036.83,560001.34,749001.95,21.17641817,1.82E+11
2018-02-26,646999.62,1586582.05,561555.79,698994.15,16.93939478,1.75E+11
2018-02-25,683729.52,1530690.34,556207.27,753814.84,6.17734954,1.64E+11
2018-02-24,832094.9,954699.51,596165.13,697600,6.82931001,1.64E+11
2018-02-23,708000.01,1006001.01,599999.18,703132.72,11.40720329,1.72E+11
2018-02-22,643096.55,888662.7,608479.77,677999.71,12.77409878,1.68E+11
2018-02-21,679393.98,973425.48,637091.12,713247.43,9.54347093,1.78E+11
2018-02-20,786002.86,2.00E+06,704217.64,714000.33,18.14175194,1.92E+11
2018-02-19,810005.18,6820305.41,661200.74,756750.21,17.8344864,1.87E+11
2018-02-18,707460.57,2.00E+06,647900.76,647900.76,9.14223222,1.77E+11
2018-02-17,701373.02,2.00E+06,650000.98,754791.94,12.21230357,1.83E+11
2018-02-16,689899.73,872998.82,604421.82,657904.55,14.4974779,1.71E+11
